company,owner,city,state,nmls,email,phone,website,license_type,verification_status,verified_at,source_name,source_url,specialties,signal,team,hiring,status,verification_notes
Riverbank Finance LLC,,Grand Rapids,MI,,,800-555-2098,https://riverbankfinance.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://riverbankfinance.com/michigan-mortgage-broker.html,FHA; VA; USDA; conventional; home equity,VA/FHA Fit,0,0,New,Public business information; verify company NMLS and wholesale channel.
Victory Home Loans,,Michigan,MI,,,,https://victoryhl.com/,Independent mortgage broker,Needs verification,2026-07-28,Company website,https://victoryhl.com/wp-content/themes/victoryhomeloans/about-us.php,Independent brokerage; Michigan,Verified Public Web,0,0,New,Public site describes independent mortgage broker; verify current contact and NMLS.
First Commerce Financial,Kirk and Ken,New Hudson,MI,137512,,(248) 459-5511,https://www.firstcommercefinancial.com/,Independent mortgage broker,Needs verification,2026-07-28,Company website,https://www.firstcommercefinancial.com/mortgage-broker-michigan/,Michigan statewide; purchase; refinance,Verified Public Web,0,0,New,Public site lists two direct numbers; primary displayed number used.
GoPrime Mortgage - Raleigh,,Apex,NC,69551,,888-524-2914,https://www.goprime.com/office/raleigh-1/,Mortgage lender,Needs verification,2026-07-28,Public company website / official public page,https://www.goprime.com/office/raleigh-1/,Purchase; refinance; local branch,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
Carolina Best Mortgage LLC,,Carolinas,NC,2373230,,,https://carolinabestmortgage.com/,Mortgage company,Needs verification,2026-07-28,Company website,https://carolinabestmortgage.com/licensing-info/,Carolinas; multi-state,Verified Public Web,0,0,New,Public licensing page; verify local office and wholesale eligibility.
1st Advantage Mortgage,,Charlotte,NC,,,,https://firstadvantagemortgage.com/,Mortgage broker,Needs verification,2026-07-28,Public company website / official public page,https://firstadvantagemortgage.com/,FHA; VA; jumbo; conventional; refinance,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
American Security Mortgage Corp,W. Scott Jones,Charlotte,NC,,,704-366-7110,,Mortgage lender,Needs verification,2026-07-28,Public company website / official public page,https://www.nccob.gov/online/nmls/ReverseMortgageCertificates.aspx,Reverse mortgage; conventional lending,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
CTR Mortgage Brokers,,Charlotte,NC,,support@ctrbrokers.com,(704) 277-4463,https://ctrbrokers.com/,Mortgage broker,Needs verification,2026-07-28,Public company website / official public page,https://ctrbrokers.com/contact/,Purchase; refinance; broker services,Verified Public Web,0,0,New,"Public business information. Verify current licensing, broker channel eligibility, and contact details before outreach."
Carolina Mortgage Firm,,Charlotte,NC,,,,https://carolinamortgagefirm.com/,Independent mortgage brokerage,Needs verification,2026-07-28,Company website,https://carolinamortgagefirm.com/,North Carolina; South Carolina; veteran-owned,Verified Public Web,0,0,New,Public site describes veteran-owned independent brokerage; contact and NMLS require verification.
Lendmire LLC,,Charlotte,NC,2371349,,(833) 807-2183,https://www.lendmire.com/,Mortgage broker,Needs verification,2026-07-28,Company website,https://www.lendmire.com/charlotte-mortgage-broker/,Purchase; refinance,Verified Public Web,0,0,New,Public business information; verify current license and wholesale eligibility.
